ISBN_10,author,book_type,discounted_price,no_of_pages,original_price,published_date,publisher,title_of_book
9780241365984,Katharine McGee,eBook,,368,$9.99,2019-09-01,ePUB,American Royals 
9780141930169,"Roald Dahl,Quentin Blake",eBook,,112,$9.99,2007-09-06,ePUB,The Twits 
9780748115358,Robert Jordan,eBook,,736,$11.99,2009-11-17,ePUB,The Great Hunt Wheel of Time: Book 2
9780463983096,Griff Hosker,eBook,,,$9.19,2019-03-04,Format,Across the Seas 
9780141911717,George Orwell,eBook,,272,$15.99,2003-06-05,ePUB,Homage to Catalonia 
9780007461240,C. S. Lewis,Paperback,$18.25,224,$19.99,2012-07-01,Paperback,The Screwtape Letters: Letters From A Senior To A Junior Devil 
9780743422277,Diane Duane,eBook,,256,$5.99,2001-12-03,ePUB,Star Trek The Original Series: Rihannsu #3: Swordhunt
9780241290002,Stuart Hall,eBook,,256,$15.99,2017-04-06,ePUB,Familiar Stranger A Life between Two Islands
9780141928685,Marian Keyes,eBook,,496,$15.99,2005-03-31,ePUB,Angels 
9780141903125,"Roald Dahl,Quentin Blake",eBook,,192,$9.99,2008-09-04,ePUB,Boy Tales of Childhood
9780755386390,Claire McGowan,eBook,,305,$11.99,2013-04-11,ePUB,The Lost (Paula Maguire 1) A gripping Irish crime thriller with explosive twists
9781310517228,Joshua Fletcher,eBook,,,$9.38,2016-03-22,Format,Anxiety Panicking about Panic
9780698137653,"Brian Kilmeade,Don Yaeger",eBook,$17.99,288,$22.29,2013-11-05,ePUB,George Washington's Secret Six The Spy Ring That Saved the American Revolution
9781405921107,Gennaro Contaldo,eBook,,128,$14.99,2015-07-02,ePUB,Jamie's Food Tube The Pasta Book
9780141342436,Rick Riordan,eBook,,528,$9.99,2015-10-06,ePUB,Magnus Chase and the Sword of Summer (Book 1) 
9780575087057,Patrick Rothfuss,eBook,,672,$12.99,2010-04-22,ePUB,The Name of the Wind Kingkiller Chronicles: Book 1
9780440336358,Karen Marie Moning,eBook,$11.99,,$14.66,2006-10-31,Format,Darkfever Fever Series Book 1
9780748109265,Patricia Cornwell,eBook,,544,$11.99,2008-09-04,ePUB,Blow Fly 
9780446539654,Robert Dugoni,eBook,,300,$17.99,2008-07-15,ePUB,The Jury Master 
9780755332557,Jill Mansell,Paperback,$26.40,512,$26.99,2007-05-10,Paperback,Kiss 
9780470901038,Alexander Osterwalder,eText,,288,$45.09,2010-07-23,PDF,"Business Model Generation A Handbook for Visionaries, Game Changers, and Challengers"
9780241980750,Dinah Jefferies,eBook,,400,$15.99,2018-04-05,ePUB,The Sapphire Widow The Enchanting Richard & Judy Book Club Pick 2018
9780241242643,"Judea Pearl,Dana Mackenzie",eBook,,400,$16.99,2018-05-15,ePUB,The Book of Why The New Science of Cause and Effect
9780857202994,Chris Carter,eBook,,464,$12.99,2011-08-18,ePUB,"The Night Stalker A brilliant serial killer thriller, featuring the unstoppable Robert Hunter"
9781101209356,Jeffery Deaver,eBook,$11.99,,$14.66,2000-01-01,Format,A Maiden's Grave 
9781101117996,"Dante Alighieri,John Ciardi",eBook,$20.99,928,$25.70,2003-05-27,ePUB,The Divine Comedy 
9781405927697,"Clive Cussler,Boyd Morrison",eBook,,480,$15.99,2017-11-16,ePUB,Typhoon Fury Oregon Files #12
9780241379011,Jennifer Petriglieri,eBook,,304,$18.99,2019-10-10,ePUB,Couples That Work How To Thrive in Love and at Work
9780755350841,Simon Scarrow,eBook,,448,$12.99,2008-09-04,ePUB,The Eagle's Conquest (Eagles of the Empire 2) Cato & Macro: Book 2
9780755373970,Karen Rose,eBook,,451,$11.99,2012-01-05,ePUB,No One Left To Tell (The Baltimore Series Book 2) 
9780755380558,Eowyn Ivey,eBook,,318,$12.99,2012-02-01,ePUB,The Snow Child The Richard and Judy Bestseller
9780575088436,"Andrzej Sapkowski,David French",eBook,,320,$12.99,2013-06-24,ePUB,Time of Contempt The bestselling novel which inspired season 3 of Netflix's The Witcher
9780571333141,Sally Rooney,eBook,$14.99,272,$16.49,2017-05-25,ePUB,"Conversations with Friends 'Brilliant, funny and startling.' GUARDIAN"
9781407035536,Terry Pratchett,eBook,,288,$14.99,2009-11-24,ePUB,Strata 
9781250232984,Adrian Tchaikovsky,eBook,$5.99,,$6.22,2019-11-05,Format,Made Things 
9780141966151,Richard H. Thaler,eBook,,256,$16.99,2015-05-07,ePUB,Misbehaving The Making of Behavioural Economics
9780141929385,Gilda O'Neill,eBook,,384,$15.99,2000-09-28,ePUB,My East End Memories of Life in Cockney London
9780141926902,Rick Riordan,eBook,,288,$12.99,2008-05-01,ePUB,Percy Jackson and the Sea of Monsters (Book 2) 
9780439023481,Suzanne Collins,Hardcover,,384,$40.75,2008-10-01,Hardcover,The Hunger Games (USA Edition) The Hunger Games Trilogy : Book 1
9780544836730,"Joanne Chang,Karen Akunowicz",eBook,$36.99,320,$46.19,2024-03-19,ePUB,Myers+Chang at Home Recipes from the Beloved Boston Eatery
9780141929576,Eoin Colfer,eBook,,336,$9.99,2002-06-06,ePUB,Artemis Fowl and The Arctic Incident The Arctic Incident
9780141957869,Ha-Joon Chang,eBook,,304,$15.99,2010-09-02,ePUB,23 Things They Don't Tell You About Capitalism 
9780141929743,Bernard Cornwell,eBook,,496,$15.99,2007-11-01,ePUB,Excalibur A Novel of Arthur
9780307965493,Melissa Leapman,eBook,$12.99,,$15.42,2011-07-13,Format,Mastering Color Knitting 
9780646987286,Tia-Clair Toomey,eBook,$16.99,202,$17.59,2018-01-22,ePUB,How I Became The Fittest Woman On Earth My Story So Far
9780141964089,Lesley Pearse,eBook,,528,$15.99,2012-01-19,ePUB,The Promise 
9781101042182,"James Joyce,Edna O'Brien,Malachy McCourt",eBook,$7.99,272,$8.55,2007-02-06,ePUB,Dubliners 
9780748115396,Robert Jordan,eBook,,1056,$12.99,2010-03-16,ePUB,Lord of Chaos Wheel of Time: Book 6
9780857208347,Carol Rivers,eBook,,464,$8.99,2013-08-01,ePUB,"A Wartime Christmas the Sunday Times bestselling family saga, perfect for Christmas 2019"
9780761174981,Debbie Stoller,eBook,,250,$23.99,2006-02-13,ePUB,Stitch 'N Bitch Crochet The Happy Hooker
9780755376605,Samantha Hayes,eBook,,307,$12.99,2010-03-04,ePUB,Blood Ties A heartstopping psychological thriller with a twist you will never see coming
9781405926959,M. J. Arlidge,eBook,,40,$2.99,2016-08-08,ePUB,No Way Back 
9780785170655,"Jim Starlin,George Perez,Ron Lim",eBook,$12.99,,$16.12,2014-05-28,Format,Infinity Gauntlet 
9780991190928,Amelia Hutchins,eBook,,,$6.99,2015-07-30,Format,Escaping Destiny 
9780241397817,Dr Rangan Chatterjee,eBook,,272,$19.99,2019-12-26,ePUB,Feel Better In 5 Your Daily Plan to Feel Great for Life
9780141967561,Rick Riordan,eBook,,592,$12.99,2012-10-02,ePUB,The Mark of Athena (Heroes of Olympus Book 3) 
9780470893869,Patrick M. Lencioni,eText,,240,$32.99,2010-06-03,ePUB,The Five Dysfunctions of a Team A Leadership Fable
9780698407091,Jennifer Chiaverini,eBook,$16.99,,$20.57,2015-10-27,Format,Christmas Bells A Novel
9780857206473,Sean Covey,eBook,,288,$16.99,2011-03-31,ePUB,The 7 Habits Of Highly Effective Teenagers 
9781310839696,Nora Sakavic,eBook,,,$1.43,2015-05-19,Format,The King's Men 
9780141919959,"George Orwell,Thomas Pynchon",eBook,,400,$10.99,2004-01-29,ePUB,Nineteen Eighty-Four 
9780307978882,"Dennis R. Shealy,Brian Biggs",eBook,$7.99,,$8.79,2012-04-25,Format,I'm a T. Rex! 
9781405935166,Marian Keyes,eBook,,672,$15.99,2017-07-13,ePUB,Lucy Sullivan is Getting Married British Book Awards Author of the Year 2022
9781405914895,M. J. Arlidge,eBook,,464,$15.99,2014-05-08,ePUB,Eeny Meeny DI Helen Grace 1
9780141941448,Alex Garland,eBook,,448,$15.99,2007-07-05,ePUB,The Beach 
9780857389572,Martin Walker,eBook,,320,$11.99,2011-10-29,ePUB,The Crowded Grave Bruno deals with murder and mayhem in rural France
9780575087309,Stephen King,eBook,,448,$13.99,2010-11-25,ePUB,The Green Mile The iconic horror masterpiece
9780544859562,Rose Levy Beranbaum,eBook,,560,$42.99,2016-09-06,ePUB,The Cake Bible 
9780307538376,John Berendt,eBook,$20.99,,$25.70,2010-05-12,Format,Midnight in the Garden of Good and Evil 
9780755399604,Anne Baker,Paperback,,384,$27.75,2014-06-05,Paperback,A Liverpool Legacy An unexpected tragedy forces a family to fight for survival
9780141922324,"Lao Tzu,D. C. Lau",eBook,,192,$10.99,2000-01-01,ePUB,Tao Te Ching 
9781407059198,John Grisham,eBook,,720,$15.99,2010-04-21,ePUB,The Rainmaker A gripping crime thriller from the Sunday Times bestselling author of mystery and suspense
9780571247035,P. D. James,eBook,$12.99,320,$14.29,2008-09-04,ePUB,The Murder Room The classic locked-room murder mystery from the 'Queen of English crime' (Guardian)
9781409106968,June Hampson,eBook,,320,$11.99,2009-04-16,ePUB,Fatal Cut 
9781302013769,"Jason Aaron,Esad Ribic",eBook,$10.99,,$13.19,2014-04-02,Format,Thor God Of Thunder Vol. 1 - The God Butcher
9780141938332,Sue Townsend,eBook,,288,$15.99,2002-11-28,ePUB,The Queen and I 
9781101533475,Julie Garwood,eBook,,1,$5.99,2011-07-05,ePUB,The Prize 
9780141357041,Jennifer Niven,eBook,,300,$12.99,2015-01-08,ePUB,All the Bright Places 
9780141908731,"Hans Fallada,Michael Hofmann",eBook,,608,$15.99,2010-01-28,ePUB,Alone in Berlin 
9780241979075,Mohsin Hamid,eBook,,240,$15.99,2017-03-02,ePUB,Exit West A BBC 2 Between the Covers Book Club Pick - Booker Prize Gems
9780857384416,Phil Campion,eBook,,352,$12.99,2011-09-25,ePUB,Born Fearless From Kids' Home to SAS to Pirate Hunter - My Life as a Shadow Warrior
9780748123056,David Sedaris,eBook,,288,$12.99,2013-04-23,ePUB,Let's Explore Diabetes With Owls 
9781407035321,Terry Pratchett,eBook,,480,$15.99,2009-12-01,ePUB,Night Watch Discworld Novel : Book 29
9780748122660,Nicholas Sparks,eBook,,320,$11.99,2010-09-02,ePUB,Safe Haven 
9780307778086,John Beevers,eBook,$17.99,,$22.01,2011-01-26,Format,The Autobiography of Saint Therese The Story of a Soul
9780698151529,J.L. Witterick,eBook,$19.99,208,$23.99,2013-09-05,ePUB,My Mother's Secret A Novel Based on a True Holocaust Story
9780141396217,Laurie L. Patton,eBook,,288,$14.99,2014-05-01,ePUB,The Bhagavad Gita 
9780141929682,Steven Pinker,eBook,,496,$16.99,2003-02-27,ePUB,The Language Instinct How the Mind Creates Language
9780759509771,Catherine Clinton,eBook,,300,$21.99,2004-02-02,ePUB,Harriet Tubman The Road to Freedom
9781405525855,Ann Leckie,eBook,,384,$11.99,2014-10-07,ePUB,Ancillary Sword Imperial Radch: Book 2
9780241258750,David Spiegelhalter,eBook,,256,$15.99,2019-03-28,ePUB,The Art of Statistics Learning from Data
9780759520844,John E. Sarno,eBook,,300,$12.99,2001-03-15,ePUB,Healing Back Pain The Mind-Body Connection
9780755355976,Jill Mansell,eBook,,362,$12.99,2012-02-16,ePUB,A Walk In The Park 
9781407039657,Joanne Harris,eBook,,592,$15.99,2010-07-06,ePUB,"The Lollipop Shoes (Chocolat 2) The delightful bestselling sequel to Chocolat, from the international multi-million copy selling author"
9780553904567,Jane Austen,eBook,,,$3.99,2008-01-29,Format,Persuasion 
9781405919227,M. J. Arlidge,eBook,,314,$15.99,2015-09-10,ePUB,Liar Liar DI Helen Grace 4
9780768448887,Hrvoje Sirovina,Paperback,,224,$32.63,2019-05-01,Paperback,Redeeming Your Bloodline Foundations For Breaking Generational Curses From the Courts of Heaven
9780241979457,Elif Shafak,eBook,,368,$15.99,2019-06-06,ePUB,10 Minutes 38 Seconds in this Strange World SHORTLISTED FOR THE BOOKER PRIZE 2019
9780141908328,"Anthony Burgess,Blake Morrison",eBook,,176,$15.99,2011-08-04,ePUB,A Clockwork Orange 
9780486114750,Bram Stoker,eBook,,336,$1.45,2012-02-06,ePUB,Dracula 
9780753553176,Dr Jeffrey Lewis,eBook,,304,$15.99,2018-08-07,ePUB,The 2020 Commission Report on the North Korean Nuclear Attacks Against The United States 
9780141985947,T. M. Devine,eBook,,400,$15.99,2018-10-04,ePUB,"The Scottish Clearances A History of the Dispossessed, 1600-1900"
9781401919276,"Esther Hicks,Jerry Hicks,Dr. Wayne W. Dyer",eBook,$14.99,314,$18.34,2004-10-01,ePUB,Ask and It Is Given Learning to Manifest Your Desires
9781250198600,Heather Webber,eBook,$15.99,,$19.50,2019-07-16,Format,Midnight at the Blackbird Cafe A Novel
9780141910338,Lesley Pearse,eBook,,544,$15.99,2008-07-14,ePUB,Gypsy 
9780393712384,Deb Dana,eBook,$41.99,,$51.34,2018-06-12,Format,The Polyvagal Theory in Therapy Engaging the Rhythm of Regulation (Norton Series on Interpersonal Neurobiology)
9780761148425,Nicholas Boothman,eBook,,203,$19.99,2008-07-02,ePUB,How to Make People Like You in 90 Seconds or Less 
9780141991757,Greta Thunberg,eBook,,80,$14.99,2019-05-30,ePUB,No One Is Too Small to Make a Difference 
9780356511511,Gareth Hanrahan,eBook,,544,$12.99,2019-01-15,ePUB,The Gutter Prayer Book One of the Black Iron Legacy
9781310198373,Talal Itani,eBook,,,$0.00,2015-05-17,Format,Quran In English. Modern English Translation. Clear and Easy to Understand. 
9780141904160,Jonathan Coe,eBook,,448,$15.99,2008-05-19,ePUB,The Closed Circle 'As funny as anything Coe has written' The Times Literary Supplement
9780307426758,Jan Spiller,eBook,$13.99,,$17.14,2009-11-04,Format,Astrology for the Soul 
9780141964591,Steven Johnson,eBook,,336,$15.99,2010-10-07,ePUB,Where Good Ideas Come From The Natural History of Innovation
9780670923090,Sathnam Sanghera,eBook,,336,$15.99,2012-11-29,ePUB,"The Boy with the Topknot A Memoir of Love, Secrets and Lies"
9780997720105,Amelia Hutchins,eBook,,,$6.99,2018-07-10,Format,Claiming the Dragon King 
9780141965550,Rick Riordan,eBook,,576,$9.99,2010-10-12,ePUB,The Lost Hero (Heroes of Olympus Book 1) 
9780141909653,Marian Keyes,eBook,,656,$15.99,2005-03-10,ePUB,The Other Side of the Story 
9780753549063,Sheryl Sandberg,eBook,,240,$18.99,2013-03-12,ePUB,"Lean In Women, Work, and the Will to Lead"
9780141959856,John Mortimer,eBook,,272,$15.99,2010-11-04,ePUB,Titmuss Regained 
9780755351473,Penny Vincenzi,eBook,,640,$12.99,2008-09-04,ePUB,Another Woman A dazzlingly addictive story of family secrets... with a breathtaking twist
9780141905570,Grace Bowman,eBook,,304,$18.99,2007-01-25,ePUB,Thin 
9780857081025,"Sun Tzu,Tom Butler-Bowdon",eBook,,220,$16.99,2016-05-16,ePUB,The Art of War The Ancient Classic
9781407011349,Katie Fforde,eBook,,432,$15.99,2010-12-07,ePUB,Going Dutch 
9780755384761,Deborah Harkness,eBook,,605,$13.99,2012-07-10,ePUB,Shadow of Night All Souls : Book 2
9781407068060,R D Wingfield,eBook,,432,$15.99,2010-04-27,ePUB,Night Frost (DI Jack Frost Book 3)
9780748117468,J. R. Ward,eBook,,544,$11.99,2010-05-06,ePUB,Lover Mine Number 8 in series
9780241986233,Emilie Pine,eBook,,192,$15.99,2019-01-31,ePUB,Notes to Self 
9780547607955,"Michele Scicolone,Alan Richardson",eBook,$31.99,240,$39.59,2024-04-16,ePUB,The French Slow Cooker 
9780755387052,James Patterson,eBook,,375,$12.99,2011-06-23,ePUB,1st to Die 
9780241361863,"Val Emmich,Justin Paul,Steven Levenson,Benj Pasek",eBook,,368,$12.99,2018-10-09,ePUB,Dear Evan Hansen 
9780241352533,Simon Jenkins,eBook,,400,$15.99,2018-11-08,ePUB,A Short History of Europe From Pericles to Putin
9780141900940,Lesley Pearse,eBook,,688,$15.99,2007-01-11,ePUB,Hope 
9781108337519,Mike Berners-Lee,eText,,,$18.95,2019-02-28,Format,There Is No Planet B A Handbook for the Make or Break Years
9780241974933,Nina Stibbe,eBook,,320,$15.99,2016-06-02,ePUB,Paradise Lodge Hilarity and pure escapism from a true British wit
